Channel,SellerName,OrInterestRate,OrUnpaidPrinc,OrLoanTerm,OrLTV,OrCLTV,NumBorrow,DTIRat,CreditScore,FTHomeBuyer,LoanPurpose,PropertyType,NumUnits,OccStatus,PropertyState,Zip,RelMortInd,OrDateMonth,OrDateYear,FirstPaymentMonth,FirstPaymentYear
R,"BANK OF AMERICA, N.A.",6.375,323000,360,65,65.0,2.0,55.0,652.0,N,C,SF,1,P,AR,721,N,11,2007,1,2008
C,"CITIMORTGAGE, INC.",6.0,391000,360,90,90.0,2.0,38.670606328740575,772.0,N,P,PU,1,P,TX,775,Y,11,2007,1,2008
C,"BANK OF AMERICA, N.A.",6.0,132000,360,88,88.0,2.0,42.0,756.0,N,R,SF,1,P,TN,376,N,10,2007,12,2007
B,OTHER,6.5,251000,360,69,69.0,2.0,59.0,719.0,N,R,SF,1,P,CA,925,N,9,2007,11,2007
R,"PNC BANK, N.A.",6.25,248000,360,80,90.0,2.0,44.0,764.0,N,P,SF,1,P,OH,440,N,11,2007,1,2008
R,"BANK OF AMERICA, N.A.",6.25,207000,360,85,85.0,2.0,41.0,665.0,N,C,PU,1,P,DE,199,N,12,2007,2,2008
R,OTHER,7.125,103000,360,68,68.0,1.0,27.0,760.0,N,R,SF,1,I,CO,806,N,9,2007,11,2007
C,OTHER,6.375,139000,360,90,90.0,1.0,25.0,765.0,Y,P,SF,1,P,MA,19,N,9,2007,11,2007
R,"BANK OF AMERICA, N.A.",6.75,77000,240,80,80.0,1.0,11.0,795.0,N,P,SF,1,I,OH,441,N,11,2007,1,2008
C,"BANK OF AMERICA, N.A.",6.5,320000,360,80,80.0,1.0,44.0,745.0,N,R,SF,1,P,UT,844,N,8,2007,10,2007
C,"BANK OF AMERICA, N.A.",6.75,156000,360,77,77.0,2.0,34.0,622.0,N,C,SF,1,P,IL,601,N,6,2007,8,2007
B,FLAGSTAR CAPITAL MARKETS CORPORATION,6.25,380000,360,52,52.0,2.0,18.0,762.0,N,P,SF,1,P,CA,913,N,10,2007,12,2007
R,"CHASE HOME FINANCE, LLC",6.5,215000,360,68,68.0,2.0,58.0,702.0,N,P,PU,1,P,FL,322,N,11,2007,1,2008
C,OTHER,6.5,115000,360,80,80.0,2.0,26.0,720.1227011928322,Y,P,SF,1,P,IA,512,N,11,2007,1,2008
C,"BANK OF AMERICA, N.A.",6.0,324000,360,80,80.0,2.0,42.0,778.0,N,R,SF,1,P,OK,740,N,11,2007,1,2008
C,FLAGSTAR CAPITAL MARKETS CORPORATION,6.875,62000,360,80,80.0,1.0,51.0,761.0,N,C,SF,1,I,OH,454,N,11,2007,1,2008
C,"WELLS FARGO BANK, N.A.",6.25,417000,360,80,80.0,1.0,51.0,734.0,N,P,SF,1,P,NJ,76,N,10,2007,12,2007
B,OTHER,5.75,210000,180,47,47.0,1.0,23.0,718.0,N,C,SF,1,I,CA,920,N,11,2007,1,2008
C,"CITIMORTGAGE, INC.",6.875,145000,360,97,97.0,1.0,37.0,704.0,Y,P,SF,1,P,MN,557,N,8,2007,10,2007
